domain                  ,totalnum
jbhunt.com              ,12
key.com                 ,12
markelcorp.com          ,12
tiaa.org                ,12
bldr.com                ,11
darden.com              ,11
ingredion.com           ,11
cvshealth.com           ,10
group1auto.com          ,10
labcorp.com             ,10
pmi.com                 ,10
pplweb.com              ,10
securian.com            ,10
spiritaero.com          ,10
veritivcorp.com         ,10
wellcare.com            ,10
dollartree.com          ,9
firstenergycorp.com     ,9
hollyfrontier.com       ,9
quantaservices.com      ,9
autoliv.com             ,8
blackstone.com          ,8
celanese.com            ,8
cmsenergy.com           ,8
facebook.com            ,8
kkr.com                 ,8
l3t.com                 ,8
lamresearch.com         ,8
newscorp.com            ,8
peabodyenergy.com       ,8
utc.com                 ,8
dcpmidstream.com        ,7
farmers.com             ,7
mosaicco.com            ,7
murphyusa.com           ,7
sempra.com              ,7
steeldynamics.com       ,7
timewarner.com          ,7
xpo.com                 ,7
cheniere.com            ,6
delekus.com             ,6
dominionenergy.com      ,6
emcorgroup.com          ,6
huntsman.com            ,6
intlfcstone.com         ,6
magellanhealth.com      ,6
omnicomgroup.com        ,6
rsac.com                ,6
ta-petro.com            ,6
aksteel.com             ,5
berryglobal.com         ,5
chemours.com            ,5
itw.com                 ,5
pattersoncompanies.com  ,5
sysco.com               ,5
theice.com              ,5
21cf.com                ,4
asburyauto.com          ,4
danaher.com             ,4
expediagroup.com        ,4
globalp.com             ,4
hanes.com               ,4
kraftheinzcompany.com   ,4
loews.com               ,4
nexteraenergy.com       ,4
nvrinc.com              ,4
o-i.com                 ,4
sanmina.com             ,4
targaresources.com      ,4
tollbrothers.com        ,4
eogresources.com        ,3
interpublic.com         ,3
kindredhealthcare.com   ,3
mmc.com                 ,3
publix.com              ,3
spartannash.com         ,3
treehousefoods.com      ,3
univar.com              ,3
vistraenergy.com        ,3
westlake.com            ,3
wrberkley.com           ,3
advanceautoparts.com    ,2
andeavor.com            ,2
ascenaretail.com        ,2
crowncork.com           ,2
oreillyauto.com         ,2
synchronyfinancial.com  ,2
bedbathandbeyond.com    ,1
caseys.com              ,1
eversource.com          ,1
evhc.net                ,1
gapinc.com              ,1
generalmills.com        ,1
jll.com                 ,1
manpowergroup.com       ,1
pbfenergy.com           ,1
seaboardcorp.com        ,1
ugicorp.com             ,1
